ts,cmd_sent,p0,p1,p2,p3,voltage_v,temp_c,uptime_ms,ax,ay,az,gx,gy,gz,packets_per_sec,errors_since_start
1776639039.125,sweep:neutral,,,,,,,,,,,,,,0,0
1776639039.126,pose:lean_right,2048,2050,2046,2045,6.90,27.0,2348845,-0.010,-0.020,0.980,-4.200,-1.100,-0.100,0.0,0
1776639040.945,tick,2400,2399,2397,2397,6.90,27.0,2350645,0.000,-0.000,0.990,-4.000,-1.200,0.300,1.0,0
1776639040.945,pose:neutral(imu-win),2400,2399,2397,2397,6.90,27.0,2350645,0.000,-0.000,0.990,-4.000,-1.200,0.300,1.0,0
1776639042.426,imu_sanity,2047,2051,2049,2046,6.90,27.0,2352145,-0.000,-0.020,0.990,-4.200,-1.100,-0.000,5.0,0
1776639043.445,imu_sanity,2047,2051,2049,2046,6.90,27.0,2353145,-0.000,-0.020,0.990,-4.300,-1.300,-0.100,6.0,0
1776639044.445,imu_sanity,2047,2051,2049,2046,6.90,27.0,2354145,-0.010,-0.020,0.980,-4.300,-1.300,-0.100,10.0,0
1776639045.445,imu_sanity,2047,2051,2049,2046,6.90,27.0,2355145,-0.000,-0.020,1.000,-4.000,-1.200,-0.300,10.0,0
1776639046.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2356245,-0.000,-0.010,0.980,-4.400,-1.200,-0.300,10.0,0
1776639047.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2357245,-0.010,-0.020,0.990,-4.300,-1.200,0.000,10.0,0
1776639048.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2358245,-0.010,-0.010,0.990,-4.000,-1.200,-0.000,10.0,0
1776639049.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2359245,-0.000,-0.010,0.990,-4.500,-1.600,0.100,10.0,0
1776639050.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2360245,-0.000,-0.020,0.980,-4.700,-1.100,-0.200,10.0,0
1776639051.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2361245,-0.000,-0.010,0.990,-4.300,-1.100,-0.200,10.0,0
1776639052.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2362245,-0.000,-0.010,0.990,-4.400,-1.200,-0.000,10.0,0
1776639053.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2363245,-0.000,-0.020,1.000,-4.400,-1.300,-0.100,10.0,0
1776639054.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2364245,-0.000,-0.010,0.980,-4.400,-1.100,-0.200,10.0,0
1776639055.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2365245,-0.010,0.000,0.980,-4.100,-1.200,0.000,10.0,0
1776639056.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2366245,-0.010,-0.010,0.990,-4.100,-1.200,0.000,10.0,0
1776639057.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2367245,-0.000,-0.020,0.980,-3.800,-1.200,-0.100,10.0,0
1776639058.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2368245,-0.000,-0.010,0.980,-4.200,-1.200,-0.100,10.0,0
1776639059.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2369245,-0.010,-0.020,0.990,-4.400,-1.300,0.100,10.0,0
1776639060.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2370245,-0.010,-0.010,1.000,-4.200,-1.100,0.000,10.0,0
1776639061.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2371245,-0.010,-0.020,0.990,-4.500,-1.300,-0.100,10.0,0
1776639062.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2372245,-0.010,-0.010,0.990,-4.400,-1.100,-0.000,10.0,0
1776639063.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2373245,-0.000,-0.010,0.990,-4.200,-1.200,-0.200,10.0,0
1776639064.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2374245,-0.010,-0.010,0.990,-4.100,-1.200,-0.100,10.0,0
1776639065.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2375245,-0.010,-0.010,0.980,-4.400,-1.200,-0.300,10.0,0
1776639066.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2376245,-0.000,-0.010,0.980,-4.500,-1.200,-0.100,10.0,0
1776639067.545,imu_sanity,2047,2051,2049,2046,6.90,27.0,2377245,-0.000,-0.020,0.990,-4.300,-1.400,-0.200,10.0,0
