t_s,daemon_rss_mb,daemon_cpu_pct,daemon_fds,vision_rss_mb,esp_tmp_c,esp_v_x10,webcam_ok,pixel_ok
0,0.85,0.00,4,,,,1,1
60,19.46,0.27,11,87.01,,,1,1
120,19.47,0.13,11,87.02,,,1,1
180,19.48,0.13,11,87.02,,,1,1
240,19.48,0.12,11,87.02,,,1,1
300,19.49,0.17,11,87.02,,,1,1
361,19.49,0.15,11,87.02,,,1,1
421,19.49,0.12,11,87.02,,,1,1
481,19.49,0.12,11,87.02,,,1,1
541,19.49,0.15,11,87.02,,,1,1
601,19.49,0.12,11,87.02,,,1,1
661,19.49,0.10,11,87.02,,,1,1
721,19.49,0.13,11,87.02,,,1,1
781,19.49,0.13,11,87.02,,,1,1
841,19.49,0.13,11,87.02,,,1,1
901,19.49,0.12,11,87.02,,,1,1
961,19.49,0.10,11,87.02,,,1,1
1022,19.49,0.12,11,87.02,,,1,1
1082,19.49,0.12,11,87.02,,,1,1
1142,19.49,0.12,11,87.02,,,1,1
1202,19.50,0.10,11,87.02,,,1,1
1262,19.50,0.10,11,87.02,,,1,1
1322,19.50,0.12,11,87.02,,,1,1
1382,19.50,0.12,11,87.02,,,1,1
1442,19.50,0.12,11,87.02,,,1,1
1502,19.50,0.10,11,87.02,,,1,1
1562,19.50,0.10,11,87.02,,,1,1
1623,19.50,0.13,11,87.02,,,1,1
1683,19.50,0.10,11,87.02,,,1,1
1743,19.50,0.12,11,87.02,,,1,1
